id,title,authors.name,year,fos.name,n_citation,references,abstract
53e99a5cb7602d97022c6f4b,Multiprogramming STRETCH: feasibility considerations,"['E. F. Codd', 'E. S. Lowry', 'E. McDonough', 'C. A. Scalzi']",1959,Computer science,26,[],"ABSTRACT The tendency,to,,balanced,combination,of built-in logic and programmed,logic. Techniques,are described,which,place the burden,of the programmed,logic on system,programs,(supervisory program,and compiler) rather than on problem,programs. (Note: Optimizing problems,associated,with multiprogramming are"
53e9b35ab7602d9703e3552e,Radix Exchangeâ€”An Internal Sorting Method for Digital Computers,"['Paul Hildebrandt', 'Harold Isbitz']",1959,Computer science,22,[],"This note describes a new techniqueâ€”Radix Exchangeâ€”for sorting data internal to the high speed memory of an electronic binary digital computer. The technique is faster than Inserting by the ratio (log2n)/n for sorting n = 2c items with values distributed evenly in the range 0 to 2c â€” 1. Its speed compares favorably with internal merging and it has the significant advantage of requiring essentially no working area in addition to that storage for the data being sorted and the instructions comprising the Radix Exchange routine itself. The nomenclature used is, in most cases, that of E. H. Friend [1]."
53e99b1bb7602d97023affe7,Sequencing Aspects of Multiprogramming,['J. Heller'],1961,Computer science,26,[],"The large newer computers available today and the computers of the future will all have features of simultaneous operation. Because of this simultaneity, the question of planning a program and the planning of groups of independent programs using the simultaneous operation capabilities of the computer becomes important. All these questions have been grouped under the heading of multiprogramming. In this paper we will discuss the sequencing or scheduling aspects of multiprogramming. Roughly speaking, the sequencing aspects revolve around questions of parts of a computer being idle because the data to be processed in one computer part is still being processed elsewhere in the computer; and if we have a group of independent programs, how can we stagger the parts of the programs through the computer such that some defined objective of all the programs"
53e9a19bb7602d9702a90860,An Algorithm for Translating Boolean Expressions,"['Bruce W. Arden', 'Bernard A. Galler', 'Robert M. Graham']",1962,Computer science,26,[],"This paper describes an algorithm for scanning Boolean expressions. Such an algorithm takes a complex, relational expression and transforms it into an optimal set of computing steps. The result is optimal in the sense that no redundant evaluations are made. The particular algorithm described is advantageous in that, as a variant of a well-known arithmetic scan, it fits into a general scheme for the translation of statements to machine language. Consistent with this arithmetic expression scan, which is included as a starting point for the development, this Boolean scan does not require the re-ordering of subex- pressions. Various algorithms for scanning algebraic expressions and decomposing them into standard forms equivalent to Polish prefix notation are quite well known by now. One such algorithm involves scanning the expression from right to left and retaining operands, operations, relations etc., on a list L until an operation or relation ~ occurs which is of lower precedence than the immediately preceding operation or relation on the list, ~j-1. When such an operation or relation as ~i is encountered, ~s-1 is compiled (or executed, if one is interpreting). The compilation consists here of creating a row of a three-column matrix M, so that if ~i-1 = ""+"", the row of M (say row i) created for a + b would be M~i = ""a"", Me = ""+"", M~a = ""b"". Figures 1 and 2 below show a flow diagram for the scan. (This diagram is similar to others which have appeared in the Communications of the ACM (1, 2), but it is more complete.) Entries and exits indicated by dotted lines are discussed later in this paper and should be ignored for the present. This diagram assumes that the expression to be scanned is stored in a list S, with the leftmost symbol in $1, the next in $2, and so on. (We assume that blanks have been deleted.) The symbols ""1-"" and ""-~"" represent left and right termination characters which are generated by the algorithm. The precedence hierarchy assumed here is as follows. t ""'"" )"
53e9a6cab7602d9702ffecaa,Addressing for Random-Access Storage with Multiple Bucket Capacities,['M. Tainiter'],1963,Computer science,17,[],Search-time probabilities are obtained for records stored in a random-access storage. Each bucket of the storage has an n-record capacity. The records are stored using a modified open-addressing system first introduced by Schay and Spruth. The equations were solved on the 7090 and results are given in the appendix for various n's and loading factors.
53e9ae22b7602d9703836680,A method for key-to-address transformation,"['Schay, G.', 'Raver, N.']",1963,Computer science,19,[],"Techniques used in the theory of error-correcting codes are applied to solve the problem of addressing a large file. This novel approach to the file addressing problem is illustrated with a specific design to show feasibility. Its effectiveness is further illustrated by comparing test results obtained from a simulated calculation, which used typical data, against values calculated from an ideal model."
53e9ae49b7602d97038601ea,Note on random addressing techniques,['W. P. Heising'],1963,Computer science,48,['53e9ae22b7602d9703836680'],"Formulas are derived for the average number of record references required to retrieve a record from a file (a) in case the records are loaded without regard for relative frequency of reference and (b) in case each set of records with a common home address is arranged in order of decreasing frequency of reference. The formulas are first derived under the assumption that the mapping from keys to addresses is ""random."" Finally, an informal argument is given which suggests the formulas will also hold under a familiar ""pseudo-random"" mapping based on the use of division, provided the keys have a certain property commonly encountered in practice."
53e9bc8fb7602d9704910999,Use of tree structures for processing files,"['Edward H. Sussenguth, Jr.']",1963,Computer science,7,[],"In data processing problems, files are frequently used which must both be searched and altered. Binary search techniques are efficient for searching large files, but the associated file organization is not readily adapted to the file alterations. Conversely, a chained file allocation permits e 1 cient alteration but cannot be searched efficiently. A file organized into a tree-like structure is discussed, and it is shown that such a file may both be searched and altered with times proportional to s logs N, where N is the number of file items and s is a parameter of the tree. It is also shown that optimizing the value of s leads to a search time which is only 25 per cent slower than the binary search. The tree organization employs two data chains and may be considered to be a compromise between the organizations for the binary search and the chained file. The relation of the tree organization to multidimensional indexing and to the trie structure is also discussed."
53e9a5f6b7602d9702f22648,Investigation of a new analytical method for numerical derivative evaluation,['R. D. Wilkins'],1964,Computer science,23,[],"A recently proposed analytical approach to numerical derivative evaluation is discussed. The technique is shown to be both accurate and easy to apply, though certain indicated modifications are required. Its use should greatly facilitate the writing and debugging of programs requiring derivatives of highly complex functions."
558acd9e84ae84d265bfb994,On the linearity of sequential machines,"['Davis, W.A.', 'Brzozowski, J.A.']",1964,Nonlinear system,15,['558acd9e84ae84d265bfb994'],"This paper presents a method for determining, from the flow table of a sequential machine, whether the machine is linearly realizable using the minimum number of unit delay elements. The method is an extension of a previously presented method for autonomous machines. A linearity algorithm is presented for each of two cases: a) where the output is given and is to be linear, and b) where the output is either not given or may be nonlinear. The method is simple, straight-forward and in general provides a ready solution to the linearity problem."
53e997e9b7602d9701fe2ce7,Computers and education,['Thomas A. Keenan'],1965,Computer science,14,[],"Since I am an enthusiast, rather than an expert, in the computer field and have been asked to talk about the future, anything may happen; but it is reassuring to find experts almost as far out as myself. In fact, it would be unwise to look only at the immediately available technology; and I have often thought of the early days of aviation, when Billy Mitchell tried very hard to convince his superiors that the airplane had a future in war and, as you know, was essentially cashiered out of the Army. He did induce a cavalry general to give airplanes a try, but the experiment was a failure. One of the ""crates"" of the day flew over a polo field while officers were playing and attempted to hit players with oranges. No hit was scored, which was pretty conclusive proof that there was no future for aviation in warfare!"
53e9b373b7602d9703e51128,Method for hyphenating at the end of a printed line,"['R. P. Rich', 'A. G. Stone']",1965,Computer science,10,[],A description of a method of hyphenation is presented as a result of application of several general rules. The character sets considered by the routine and the method are briefly outlined.
53e99b10b7602d97023a35b7,Survey of formula manipulation,['Jean E. Sammet'],1966,Computer science,36,['53e9a5f6b7602d9702f22648'],"The field of formula manipulation is surveyed, with particular attention to the specific capabilities of differentiation, integration and the supporting capabilities of simplification, displays and input/output editing, and precision arithmetic. General systemsâ€”both batch and onlineâ€”are described. Finally, some programs to solve specific applications are discussed."
53e9b8d4b7602d97044b1ced,Program and Addressing Structure in a Time-Sharing Environment,"['B. W. Arden', 'B. A. Galler', ""T. C. O'Brien"", 'F. H. Westervelt']",1966,Computer science,78,['53e998f0b7602d970212b848'],The problem studied is the effect of a time-sharing environment on the structure of programs and on the addressing strategies which may be employed in the hardware. An account is given of some very recent developments toward reduction in the system overhead needed to facilitate time-sharing. One hardware-software scheme designed to implement this reduction is described in some detail.
53e99b5eb7602d9702404c0c,A Machine-Independent Theory of the Complexity of Recursive Functions,['Manuel Blum'],1967,Computer science,828,[],"The number of steps required to compute a function depends, in general, on the type of computer that is used, on the choice of computer program, and on the input-output code. Nevertheless, the results obtained in this paper are so general as to be nearly independent of these considerations.A function is exhibited that requires an enormous number of steps to be computed, yet has a â€œnearly quickestâ€ program: Any other program for this function, no matter how ingeniously designed it may be, takes practically as many steps as this nearly quickest program.A different function is exhibited with the property that no matter how fast a program may be for computing this function another program exists for computing the function very much faster."
53e99cb5b7602d970256bbef,Production and Stabilization of Real-Time Task Schedules,['G. K. Manacher'],1967,Computer science,103,['53e99b1bb7602d97023affe7'],"A model for multiprocessor control is considered in which jobs are broken into various pieces, called tasks. Tasks are executed by single processing units. In this paper the structure controlling the assignment of tasks to processors is the task list, which orders all tasks according to servicing priority. When a processors becomes free, it simply picks up the highest priority task that is executable at that moment.The job and its component tasks are imagined to be interacting with an environment consisting of a set of rigid timing constraints. Such constraints are of two types, called start-times and deadlines. The interaction is specified by requiring that certain distinguished tasks conform directly to one or more of these constraints. Tasks conforming to a start-time cannot begin until the start-time has passed, and tasks conforming to a deadline cannot proceed beyond the deadline. In our model, all tasks have known maximum run-times, but in any particular job execution, task run-times are unknown.It is shown that despite the simplicity of this control scheme some peculiar phenomena result. Most of these phenomena were first noticed by P. Richards in 1960. A simulation study (Appendix I) reveals that they may be very common in practice. In the present paper and a companion paper by R. L. Graham [Bell Syst. Tech. J. 45 (1966), 1563-1581] a coherent theory of task-list control is developed, in which the nature of these peculiarities is brought under systematic study. A number of potentially useful results are derived."
53e99ef4b7602d97027c2dfc,Probability Models for Multiprogramming Computer Systems,['Donald P. Gaver'],1967,Computer science,114,['53e998f0b7602d970212b848'],"A probabilistic model is developed for a multiprogramming computer configuration, i.e., one in which several program segments are simultaneously in main memory (core). The model relates speed and number of input-output devices, core size, and central processor speed to central processor and system productivity. Incorporated in the model are parameters describing the statistical variability of input-output and central processor activities. Thus the model permits comparisons between systems loaded with different mixtures of job types (â€œscientificâ€ vs. â€œbusinessâ€ applications). Numerical comparisons of various systems are provided."
